internal_category,topic,unique_links,citation_events,matched_samples,matched_questions
官网,店铺经营与竞品分析,1,3,3,3
官网,数据分析与工具使用,5,37,37,24
官网,直播复盘与直播运营,1,3,3,3
官网,行业趋势与方法论,1,1,1,1
抖音员工号,店铺经营与竞品分析,22,219,163,55
抖音员工号,投流与广告优化,4,30,30,20
抖音员工号,数据分析与工具使用,25,150,112,50
抖音员工号,直播复盘与直播运营,16,92,67,27
抖音员工号,短视频内容与流量,9,47,43,15
抖音员工号,行业趋势与方法论,2,3,3,3
抖音员工号,达人分析与合作,4,45,44,21
抖音员工号,选品与商品分析,23,101,80,39
社媒九账号,店铺经营与竞品分析,3,20,20,15
社媒九账号,投流与广告优化,2,21,21,11
社媒九账号,数据分析与工具使用,33,498,331,89
社媒九账号,直播复盘与直播运营,2,5,5,3
社媒九账号,短视频内容与流量,4,16,16,7
社媒九账号,行业趋势与方法论,2,3,3,2
社媒九账号,达人分析与合作,1,32,32,16
社媒九账号,选品与商品分析,7,24,23,18
运营圈,店铺经营与竞品分析,2,59,58,36
运营圈,数据分析与工具使用,5,13,13,12
运营圈,直播复盘与直播运营,3,6,6,6
运营圈,行业趋势与方法论,1,4,4,4
运营圈,达人分析与合作,1,1,1,1
运营圈,选品与商品分析,4,94,88,48
