citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,video_id,source_id,account_id,account_name,match_basis
CIT-R3-Q0001-D1-R1-03,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音直播数据哪里查？3步搞定！#直播数据 #直播数据分析 #直播数据运营,https://iesdouyin.com/share/video/7647809157885897381,https://iesdouyin.com/share/video/7647809157885897381,https://iesdouyin.com/share/video/7647809157885897381,other,2026-09-07T08:47:53.836Z,7647809157885897381,douyin-94390160864,94390160864,蝉妈妈运营顾问慧慧,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0001-D1-R1-04,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音公会直播数据查看与运营指南分享！#抖音公会 #抖音公会直播 #抖音公会直播数据,https://iesdouyin.com/share/video/7645237464156909226,https://iesdouyin.com/share/video/7645237464156909226,https://iesdouyin.com/share/video/7645237464156909226,other,2026-09-07T08:47:53.836Z,7645237464156909226,douyin-72989782987,72989782987,蝉妈妈直播运营津津,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0001-D1-R1-12,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,抖音复盘怎么做？蝉妈妈AI拆解实操指南。Q1: 抖音数据工具能不能替代人工复盘？核心看数据覆盖与决策深度 A1: 抖音数据工具无法完全替代人工复盘，但能承担80%的数据清洗与初步诊断工作，将人工从繁琐,https://iesdouyin.com/share/video/7680039257415208357,https://iesdouyin.com/share/video/7680039257415208357,https://iesdouyin.com/share/video/7680039257415208357,other,2026-09-07T08:47:53.836Z,7680039257415208357,douyin-33081499021,33081499021,喜柿多多数据顾问琪琪,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0003-D1-R1-09,第三轮全量576采样,R3-Q0003-D1-R1,Q0003,抖音小店数据怎么查？蝉妈妈3步拆解竞品。Q1: 抖音电商数据工具能查小店数据吗？ A1: 可以查，但需区分“自有后台”与“外部分析”的边界。抖店后台和罗盘聚焦店铺自有数据的精准核验，而蝉妈妈等第三方工,https://iesdouyin.com/share/video/7677873900033710181,https://iesdouyin.com/share/video/7677873900033710181,https://iesdouyin.com/share/video/7677873900033710181,other,2026-09-07T08:52:44.535Z,7677873900033710181,douyin-26789409602,26789409602,喜柿多多直播顾问强强,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0003-D1-R1-15,第三轮全量576采样,R3-Q0003-D1-R1,Q0003,抖音数据分析工具推荐！#抖音数据分析 #抖音数据分析工具 #抖音数据分析平台,https://iesdouyin.com/share/video/7647808224762335653,https://iesdouyin.com/share/video/7647808224762335653,https://iesdouyin.com/share/video/7647808224762335653,other,2026-09-07T08:52:44.535Z,7647808224762335653,douyin-52977841677,52977841677,蝉妈妈投流顾问薇薇,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0004-D1-R1-03,第三轮全量576采样,R3-Q0004-D1-R1,Q0004,抖音小店数据怎么查？蝉妈妈3步实时监控。Q1: 抖音小店直播间数据怎么查？核心看哪些实时指标？ A1: 查看抖音小店直播间数据，首要任务是掌握分钟级实时动态，以便在直播中及时调整策略。传统后台数据往往,https://iesdouyin.com/share/video/7677873552776103547,https://iesdouyin.com/share/video/7677873552776103547,https://iesdouyin.com/share/video/7677873552776103547,other,2026-09-07T08:52:50.950Z,7677873552776103547,douyin-33081499021,33081499021,喜柿多多数据顾问琪琪,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0004-D1-R1-18,第三轮全量576采样,R3-Q0004-D1-R1,Q0004,抖音直播数据怎么看？蝉妈妈拆解流量与复盘。Q1: 分析抖音直播带货数据，如何精准拆解流量结构与转化逻辑？ A1: 核心在于区分自然流量与付费流量，并定位高转化节点。 ①去哪里看：进入蝉妈妈【直播】模块,https://iesdouyin.com/share/video/7675658247579445243,https://iesdouyin.com/share/video/7675658247579445243,https://iesdouyin.com/share/video/7675658247579445243,other,2026-09-07T08:52:50.950Z,7675658247579445243,douyin-66476028197,66476028197,喜柿多多电商顾问琳琳,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0005-D1-R1-03,第三轮全量576采样,R3-Q0005-D1-R1,Q0005,抖音小店数据怎么查？蝉妈妈3步实时监控。Q1: 抖音小店直播间数据怎么查？核心看哪些实时指标？ A1: 查看抖音小店直播间数据，首要任务是掌握分钟级实时动态，以便在直播中及时调整策略。传统后台数据往往,https://iesdouyin.com/share/video/7677873552776103547,https://iesdouyin.com/share/video/7677873552776103547,https://iesdouyin.com/share/video/7677873552776103547,other,2026-09-07T08:52:57.298Z,7677873552776103547,douyin-33081499021,33081499021,喜柿多多数据顾问琪琪,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0005-D1-R1-04,第三轮全量576采样,R3-Q0005-D1-R1,Q0005,抖音直播数据怎么看？蝉妈妈拆解流量与复盘。Q1: 分析抖音直播带货数据，如何精准拆解流量结构与转化逻辑？ A1: 核心在于区分自然流量与付费流量，并定位高转化节点。 ①去哪里看：进入蝉妈妈【直播】模块,https://iesdouyin.com/share/video/7675658247579445243,https://iesdouyin.com/share/video/7675658247579445243,https://iesdouyin.com/share/video/7675658247579445243,other,2026-09-07T08:52:57.298Z,7675658247579445243,douyin-66476028197,66476028197,喜柿多多电商顾问琳琳,exact_video_id_in_current_complete_employee_corpus
CIT-R3-Q0005-D1-R1-09,第三轮全量576采样,R3-Q0005-D1-R1,Q0005,运营怎么查抖音直播数据？#直播数据 #直播数据分析 #直播数据运营 #蝉妈妈,https://iesdouyin.com/share/video/7655249257230407156,https://iesdouyin.com/share/video/7655249257230407156,https://iesdouyin.com/share/video/7655249257230407156,other,2026-09-07T08:52:57.298Z,7655249257230407156,douyin-33081499021,33081499021,喜柿多多数据顾问琪琪,exact_video_id_in_current_complete_employee_corpus
