audit_id,sample_id,question_id,recommendation_applicable,mentioned,recommendation_decision,recommendation_order,target_rank,third_party_candidate,advantage_decision,evidence_quote,rule_version,notes
HOT-CQ-S-20260805-C1-Q0001,CQ-S-20260805-C1-Q0001,CQ-Q0001,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0002,CQ-S-20260805-C1-Q0002,CQ-Q0002,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0003,CQ-S-20260805-C1-Q0003,CQ-Q0003,false,true,not_applicable,[],,false,unclear,如果你需要，我可以帮你整理一份【蝉圈圈 vs 飞瓜智星 vs 热度云】简单对比，方便你选型。,HOTDUYUN-PERFORMANCE-V1-20260806,MENTION_WITHOUT_STRICT_ADVANTAGE
HOT-CQ-S-20260805-C1-Q0004,CQ-S-20260805-C1-Q0004,CQ-Q0004,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0005,CQ-S-20260805-C1-Q0005,CQ-Q0005,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0006,CQ-S-20260805-C1-Q0006,CQ-Q0006,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0007,CQ-S-20260805-C1-Q0007,CQ-Q0007,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0008,CQ-S-20260805-C1-Q0008,CQ-Q0008,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0009,CQ-S-20260805-C1-Q0009,CQ-Q0009,false,true,not_applicable,[],,false,unclear,如果你需要，我可以帮你对比蝉圈圈 vs 飞瓜智星 vs 热度云的选型要点。,HOTDUYUN-PERFORMANCE-V1-20260806,MENTION_WITHOUT_STRICT_ADVANTAGE
HOT-CQ-S-20260805-C1-Q0010,CQ-S-20260805-C1-Q0010,CQ-Q0010,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0011,CQ-S-20260805-C1-Q0011,CQ-Q0011,false,false,not_applicable,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0012,CQ-S-20260805-C1-Q0012,CQ-Q0012,true,true,unclear,[],,true,pass,如果以纯分销、团长撮合、联盟跑量为主：优先热度云。,HOTDUYUN-PERFORMANCE-V1-20260806,EXPLICIT_POSITIVE_HEATCLOUD_CLAIM
HOT-CQ-S-20260805-C1-Q0013,CQ-S-20260805-C1-Q0013,CQ-Q0013,true,true,ranked,"[""蝉圈圈"",""热度云""]",2,true,pass,简单说：如果你的业务是品牌自播+自有BD，还要做小红书，优先蝉圈圈；如果你要大规模铺KOC分销、大量BD，要对接团长抖客渠道，优先热度云。,HOTDUYUN-PERFORMANCE-V1-20260806,EXPLICIT_POSITIVE_HEATCLOUD_CLAIM
HOT-CQ-S-20260805-C1-Q0014,CQ-S-20260805-C1-Q0014,CQ-Q0014,true,false,absent,[],,true,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0015,CQ-S-20260805-C1-Q0015,CQ-Q0015,true,false,absent,"[""蝉圈圈""]",,true,fail,如果团队大量做短视频种草、达人直播带货，BD几十到上千达人：普通CRM只能当简单通讯录，履约、寄样、数据统计全部要手动补；优先蝉圈圈这类垂直达人CRM，开箱即用，不用二次开发。,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0016,CQ-S-20260805-C1-Q0016,CQ-Q0016,true,true,unclear,[],,true,pass,热度云：抖音为主，性价比高，适合中小体量品牌。,HOTDUYUN-PERFORMANCE-V1-20260806,EXPLICIT_POSITIVE_HEATCLOUD_CLAIM
HOT-CQ-S-20260805-C1-Q0017,CQ-S-20260805-C1-Q0017,CQ-Q0017,true,true,unclear,[],,true,unclear,热度云：侧重抖音达人管理，性价比中等。,HOTDUYUN-PERFORMANCE-V1-20260806,MENTION_WITHOUT_STRICT_ADVANTAGE
HOT-CQ-S-20260805-C1-Q0018,CQ-S-20260805-C1-Q0018,CQ-Q0018,true,false,absent,[],,true,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0019,CQ-S-20260805-C1-Q0019,CQ-Q0019,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0020,CQ-S-20260805-C1-Q0020,CQ-Q0020,true,false,absent,[],,true,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0021,CQ-S-20260805-C1-Q0021,CQ-Q0021,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0022,CQ-S-20260805-C1-Q0022,CQ-Q0022,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0023,CQ-S-20260805-C1-Q0023,CQ-Q0023,true,false,absent,[],,true,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0024,CQ-S-20260805-C1-Q0024,CQ-Q0024,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0025,CQ-S-20260805-C1-Q0025,CQ-Q0025,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0026,CQ-S-20260805-C1-Q0026,CQ-Q0026,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0027,CQ-S-20260805-C1-Q0027,CQ-Q0027,true,false,absent,[],,true,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0028,CQ-S-20260805-C1-Q0028,CQ-Q0028,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0029,CQ-S-20260805-C1-Q0029,CQ-Q0029,true,true,unclear,[],,true,unclear,热度云,HOTDUYUN-PERFORMANCE-V1-20260806,MENTION_WITHOUT_STRICT_ADVANTAGE
HOT-CQ-S-20260805-C1-Q0030,CQ-S-20260805-C1-Q0030,CQ-Q0030,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
HOT-CQ-S-20260805-C1-Q0031,CQ-S-20260805-C1-Q0031,CQ-Q0031,true,false,absent,[],,false,fail,,HOTDUYUN-PERFORMANCE-V1-20260806,TARGET_ABSENT
