citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,site_key,matched_url
CIT-R3-Q0003-D1-R1-16,第三轮全量576采样,R3-Q0003-D1-R1,Q0003,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T08:52:44.535Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0014-D1-R1-06,第三轮全量576采样,R3-Q0014-D1-R1,Q0014,有米云有米有数新电商营销大数据分析平台,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,other,2026-09-07T09:06:09.707Z,yun88.com,https://yun88.com/product/8283.html
CIT-R3-Q0019-D1-R1-11,第三轮全量576采样,R3-Q0019-D1-R1,Q0019,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T09:37:15.258Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0021-D1-R1-14,第三轮全量576采样,R3-Q0021-D1-R1,Q0021,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T09:37:37.108Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0022-D1-R1-08,第三轮全量576采样,R3-Q0022-D1-R1,Q0022,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T09:37:46.995Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0022-D1-R1-17,第三轮全量576采样,R3-Q0022-D1-R1,Q0022,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T09:37:46.995Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0029-D1-R1-25,第三轮全量576采样,R3-Q0029-D1-R1,Q0029,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T09:41:59.822Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0029-D1-R1-51,第三轮全量576采样,R3-Q0029-D1-R1,Q0029,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T09:41:59.822Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0037-D1-R1-08,第三轮全量576采样,R3-Q0037-D1-R1,Q0037,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T09:43:12.387Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0063-D1-R1-11,第三轮全量576采样,R3-Q0063-D1-R1,Q0063,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T09:49:56.221Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
