audit_id,sample_id,question_id,recommendation_applicable,mentioned,recommendation_decision,recommendation_order,target_rank,third_party_candidate,advantage_decision,evidence_quote,rule_version,notes
CQQ-PERF-CQ-S-20260805-C1-Q0001,CQ-S-20260805-C1-Q0001,CQ-Q0001,false,true,not_applicable,[],,false,pass,整套方法分为精准筛选达人（建联基础）、平台工具高效建联、沟通话术提升回复、合作机制撬动达人积极性、全流程管控提转化、数据复盘放大ROI六大模块，全部基于蝉圈圈原生功能落地。 / 一、先精准筛选达人，从源头减少无效建联（建联成功率提升3倍） / 建联低效根源是达人不匹配，先用蝉圈圈多维度筛人，避免盲目群发邀约,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0002,CQ-S-20260805-C1-Q0002,CQ-Q0002,false,true,not_applicable,[],,false,pass,蝉圈圈AI商务（AI超级商务Agent）主要帮BD把找达人、写邀约、批量触达、消息回收、线索分级、过程记录、自动提醒这些重复性工作自动化，BD聚焦高意向达人谈细节、议价、落地合作。 / 一、达人筛选：前置帮BD锁定高潜建联名单 / 产品驱动智能匹配：输入商品/店铺，AI解析产品定位、受众、卖点，从海量达人库秒级输出适配达人，参考粉丝画像、垂类、带货GMV、内容风格、历史同类品转化能力做打分推荐。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0003,CQ-S-20260805-C1-Q0003,CQ-Q0003,false,true,not_applicable,[],,false,unclear,不公开线上自助下单，需要联系蝉圈圈销售获取报价、开通试用、下单，不同时期会有活动优惠（大促会送时长）。,CQQ-BRAND-PERFORMANCE-V1-20260807,MENTION_WITHOUT_STRICT_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0004,CQ-S-20260805-C1-Q0004,CQ-Q0004,false,true,not_applicable,[],,false,fail,官网地址：https://www.kolkoc.com / 直接登录页：https://www.kolkoc.com/login / ⚠️注意：蝉圈圈为邀请制企业SaaS工具，不能随便自助注册，需要联系蝉圈圈商务获取邀请码才可以开通账号，个人无法直接注册使用。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_NEGATIVE_TARGET_CLAIM
CQQ-PERF-CQ-S-20260805-C1-Q0005,CQ-S-20260805-C1-Q0005,CQ-Q0005,false,true,not_applicable,[],,false,pass,这是蝉圈圈主打大规模建联的功能，AI自动筛选、自动发邀约、自动接收回复。 / 1.开通【AI商务员工】能力（企业版增值功能） / 2.绑定店铺，设置筛选条件：品类、粉丝区间、佣金、合作模式、预算、话术模板,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0006,CQ-S-20260805-C1-Q0006,CQ-Q0006,false,true,not_applicable,[],,false,pass,如果你需要，我可以给你一份蝉圈圈寄样SOP简短版，直接给团队BD使用。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0007,CQ-S-20260805-C1-Q0007,CQ-Q0007,false,true,not_applicable,[],,false,fail,达人的千川投放、巨量千川后台数据，蝉圈圈无法直接读取。 / 补充：未绑店铺也能看（公开预估数据，不能用于结算） / 达人库的粉丝、历史预估GMV、预估带货能力、粉丝画像，这部分来自蝉妈妈大数据，不需要绑定店铺，但属于预估，不能用来做财务结算。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_NEGATIVE_TARGET_CLAIM
CQQ-PERF-CQ-S-20260805-C1-Q0008,CQ-S-20260805-C1-Q0008,CQ-Q0008,false,true,not_applicable,[],,false,pass,蝉圈圈定位是全域达人营销一站式管理工具，覆盖抖音、小红书、快手、视频号，从达人挖掘、建联履约、投放盯数据、自动核算ROI复盘、达人资源沉淀全链路闭环，下面按新手零基础一步步拆解。 / 一、前期账号基础配置（新手第一步必做） / 1.注册&绑定店铺,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0009,CQ-S-20260805-C1-Q0009,CQ-Q0009,false,true,not_applicable,[],,false,pass,蝉圈圈是蝉妈妈旗下的达人营销SaaS系统，主打抖音、小红书、快手、视频号多平台达人全流程管理。 / 简单理解：它不只是查数据，而是一套达人投放中台，把找达人→建联邀约→寄样履约→合同管理→数据回传ROI复盘→商务绩效全部线上化，替代Excel表格管理达人资源。 / 核心功能,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0010,CQ-S-20260805-C1-Q0010,CQ-Q0010,false,true,not_applicable,[],,false,pass,蝉圈圈一共提供3种移动端使用方式，覆盖安卓APP、iOS苹果APP、微信小程序，搭配PC网页端实现全场景办公。 / 移动端入口 / 微信小程序（最便捷，无需下载）,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0011,CQ-S-20260805-C1-Q0011,CQ-Q0011,false,false,not_applicable,[],,false,fail,,CQQ-BRAND-PERFORMANCE-V1-20260807,TARGET_ABSENT
CQQ-PERF-CQ-S-20260805-C1-Q0012,CQ-S-20260805-C1-Q0012,CQ-Q0012,true,true,ranked,"[""蝉圈圈""]",1,true,pass,蝉圈圈（蝉妈妈生态） / ✅ 优势 / 背靠蝉妈妈原生数据，抖音达人带货数据、标签、转化、粉丝画像深度更强，可直接跳转蝉妈妈看达人完整历史数据；有自然出单达人挖掘，挖掘精选联盟自发带过你品类的达人。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
CQQ-PERF-CQ-S-20260805-C1-Q0013,CQ-S-20260805-C1-Q0013,CQ-Q0013,true,true,ranked,"[""蝉圈圈"",""热度云""]",1,true,pass,蝉圈圈 / 数据源来自自家蝉妈妈，抖音达人标签、带货数据深度、准确度更高，可一键跳转蝉妈妈看达人详情，做带货能力研判。 / 有自然出单达人功能：挖掘精选联盟已经在卖自家商品、还未商务对接的达人，适合做被动出单达人盘活。,CQQ-BRAND-PERFORMANCE-V1-20260807,EXPLICIT_TARGET_ADVANTAGE
