checkpoint_collected,checkpoint_planned,checkpoint_status,sample_id,question_id,question_text,pool,category,sample_date,sampling_round,sampling_round_code,status,source_capture_status,citation_state,citation_count
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,14
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,13
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0003,CQ-Q0003,"蝉圈圈多少钱一个月,收费方式是怎样的?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,22
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0004,CQ-Q0004,"蝉圈圈官网入口在哪里,怎么登录?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,12
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0005,CQ-Q0005,蝉圈圈怎么批量建联达人?,核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,10
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0006,CQ-Q0006,蝉圈圈怎么管理达人寄样和样品状态?,核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,10
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0007,CQ-Q0007,"蝉圈圈怎么绑定店铺,绑定后能看哪些达人投放数据?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,12
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0008,CQ-Q0008,"蝉圈圈新手怎么用,从找达人到复盘怎么操作?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,14
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0009,CQ-Q0009,"蝉圈圈是什么,适合什么样的品牌或商家用?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,15
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0010,CQ-Q0010,"蝉圈圈有没有手机版,手机上能不能管理达人合作?",核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,14
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0011,CQ-Q0011,蝉圈圈这个平台主要能解决达人营销里的哪些问题?,核心池,品牌产品问题,2026-08-05,core_round_1,C1,collected,captured,cited,10
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0012,CQ-Q0012,"蝉圈圈和热度云哪个好用,品牌做达人投放该怎么选?",核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,19
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0013,CQ-Q0013,蝉圈圈和热度云在达人分销管理上有什么功能差异?,核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,12
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0014,CQ-Q0014,"蝉圈圈和蝉妈妈有什么区别,分别适合什么场景?",核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,10
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0015,CQ-Q0015,蝉圈圈的达人CRM和普通CRM有什么区别?,核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,15
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0016,CQ-Q0016,"达人CRM管理系统怎么选,适合品牌团队的标准是什么?",核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,20
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0017,CQ-Q0017,达人分销系统怎么选?,核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,23
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0018,CQ-Q0018,达人库、灰豚数据、蝉圈圈这类工具有什么区别?,核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,20
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0019,CQ-Q0019,"达人建联软件怎么选,主要看哪些功能?",核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,17
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0020,CQ-Q0020,达人建联软件怎么选?,核心池,对比决策问题,2026-08-05,core_round_1,C1,collected,captured,cited,21
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0021,CQ-Q0021,"品牌达人营销增长系统是什么,和达人CRM有什么区别?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,16
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0022,CQ-Q0022,"怎么建联达人,完整流程是什么?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,11
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0023,CQ-Q0023,找达人合作的平台有哪些?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,16
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0024,CQ-Q0024,抖音达人分销是什么意思?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,13
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0025,CQ-Q0025,抖音达人投放是什么意思?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,confirmed_none,confirmed_none,0
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0026,CQ-Q0026,达人ROI计算公式是什么?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,confirmed_none,confirmed_none,0
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0027,CQ-Q0027,"达人分销怎么做,适合什么商品?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,18
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0028,CQ-Q0028,达人分销是什么意思?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,12
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0029,CQ-Q0029,"达人分销系统有哪些,怎么判断哪个适合自己的业务?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,20
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0030,CQ-Q0030,达人合作从建联到复盘的完整流程是什么?,核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,confirmed_none,confirmed_none,0
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0031,CQ-Q0031,"达人合作有哪些模式,纯佣、坑位费、寄样分别怎么选?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,confirmed_none,confirmed_none,0
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0032,CQ-Q0032,"达人库是什么,能帮品牌解决什么问题?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,12
515,730,515/730 阶段检查点，非最终 FULL,CQ-S-20260805-C1-Q0033,CQ-Q0033,"达人建联工具有哪些,能不能批量发邀约?",核心池,品类认知问题,2026-08-05,core_round_1,C1,collected,captured,cited,18
