account,platform,account_type,citation_events,unique_pages,answers,questions,first_citations,sample_rate_pct,question_rate_pct,confidence
蝉妈妈运营圈,蝉妈妈运营圈,企业号,0,0,0,0,0,0.0,0.0,无严格命中
值友6484631877,什么值得买,企业号,0,0,0,0,0,0.0,0.0,无严格命中
蝉妈妈,知乎,企业号,0,0,0,0,0,0.0,0.0,无严格命中
电商数据观察员,知乎,员工号,0,0,0,0,0,0.0,0.0,无严格命中
蝉妈妈电商增长,今日头条,企业号,1,1,1,1,0,0.17,1.04,high 1
电商数据观察员,今日头条,员工号,17,1,17,12,0,2.95,12.5,high 17
蝉妈妈,百家号,企业号,0,0,0,0,0,0.0,0.0,无严格命中
月甜 / 瓜趣3D,百家号,员工号,0,0,0,0,0,0.0,0.0,无严格命中
chanmama8888,CSDN,企业号,0,0,0,0,0,0.0,0.0,无严格命中
蝉妈妈,搜狐号,企业号,601,52,367,92,38,63.72,95.83,high 601
蝉妈妈电商增长,哔哩哔哩,企业号,0,0,0,0,0,0.0,0.0,无严格命中
