audit_id,brand_key,brand_label,sample_id,question_id,excluded_cqq_brand_question,exclusion_reason,recommendation_applicable,mentioned,mention_decision,ambiguous_alias,reviewer_1_recommendation_decision,reviewer_2_recommendation_decision,final_recommendation_decision,recommendation_order,target_rank,third_party_candidate,reviewer_1_advantage_decision,reviewer_2_advantage_decision,final_advantage_decision,evidence_quote,rule_version,notes
COMP-hotduyun-CQ-S-20260805-C1-Q0001,hotduyun,热度云,CQ-S-20260805-C1-Q0001,CQ-Q0001,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0001,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0001,CQ-Q0001,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0002,hotduyun,热度云,CQ-S-20260805-C1-Q0002,CQ-Q0002,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0002,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0002,CQ-Q0002,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0003,hotduyun,热度云,CQ-S-20260805-C1-Q0003,CQ-Q0003,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,not_applicable,not_applicable,not_applicable,[],,true,unclear,unclear,not_applicable,如果你需要，我可以帮你整理一份【蝉圈圈 vs 飞瓜智星 vs 热度云】简单对比，方便你选型。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0003,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0003,CQ-Q0003,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,not_applicable,not_applicable,not_applicable,[],,true,unclear,unclear,not_applicable,如果你需要，我可以帮你整理一份【蝉圈圈 vs 飞瓜智星 vs 热度云】简单对比，方便你选型。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0004,hotduyun,热度云,CQ-S-20260805-C1-Q0004,CQ-Q0004,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0004,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0004,CQ-Q0004,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0005,hotduyun,热度云,CQ-S-20260805-C1-Q0005,CQ-Q0005,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0005,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0005,CQ-Q0005,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0006,hotduyun,热度云,CQ-S-20260805-C1-Q0006,CQ-Q0006,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0006,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0006,CQ-Q0006,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0007,hotduyun,热度云,CQ-S-20260805-C1-Q0007,CQ-Q0007,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
