site_key,matched_url,check_time,status,http_status,final_url,page_title,evidence_summary,content_sha256
aiproducthub.cn,https://feigua.aiproducthub.cn/,2026-09-08T03:19:33.906Z,已核验页面正文不含蝉妈妈,200,https://feigua.aiproducthub.cn/,飞瓜数据 - 短视频/直播电商数据分析平台｜抖音快手B站数据洞察,页面可见正文未发现完整字符串,CA8561A6670611188DD256598A8ADF122C24C786D7C3C0C9D8D823678CD4D163
yun88.com,https://yun88.com/product/8283.html,2026-09-08T03:19:34.368Z,已核验页面正文不含蝉妈妈,200,https://www.yun88.com/product/8283.html,有米云有米有数新电商营销大数据分析平台_抖音电商选品软件_智能投放提效工具-云巴巴,页面可见正文未发现完整字符串,AF5FE4898F8205C1BD38725EB3B38B7B729710FEF0EF72AB9B9CD225807E7311
aiproducthub.cn,https://toobigdata.aiproducthub.cn/,2026-09-08T03:19:37.696Z,已核验页面正文不含蝉妈妈,200,https://toobigdata.aiproducthub.cn/,TooBigData - 抖音快手短视频数据分析平台｜网红排行热门商品账号诊断网页版入口,页面可见正文未发现完整字符串,069E4795D2B80ED8B4BD75F79FB8614D5C9E23DEA77CEEC2C598CB504A62E62C
yun88.com,https://yun88.com/product/9520.html,2026-09-08T03:19:38.046Z,已核验页面正文不含蝉妈妈,200,https://www.yun88.com/product/9520.html,灰豚数据短视频&直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,页面可见正文未发现完整字符串,C6E379D04F1DDA3F76A06AA1927F22717E5D509418FD616D83F5BF2B1F9096EB
aiproducthub.cn,https://chanmama.aiproducthub.cn/,2026-09-08T03:19:40.484Z,已核验页面正文含蝉妈妈,200,https://chanmama.aiproducthub.cn/,蝉妈妈 - 抖音短视频与直播电商数据分析平台｜达人营销与商品洞察,蝉妈妈 - 抖音短视频与直播电商数据分析平台｜达人营销与商品洞察 AI产品库 > 蝉妈妈 蝉妈妈 蝉妈妈（chanmama.c,12121A7BFA0C63C04C18AE942B79B20FF1E338286FC34471A606704D4B49B011
aiproducthub.cn,https://kaogujia.aiproducthub.cn/,2026-09-08T03:19:40.839Z,已核验页面正文不含蝉妈妈,200,https://kaogujia.aiproducthub.cn/,考古加 - 抖音电商数据分析平台｜达人直播带货选品分析网页版入口,页面可见正文未发现完整字符串,E58A25A7521C1E327EFCB82D55BAD7305EA74FF13930D91CB72FE389D832C290
aiproducthub.cn,https://huitun.aiproducthub.cn/,2026-09-08T03:19:41.197Z,已核验页面正文不含蝉妈妈,200,https://huitun.aiproducthub.cn/,灰豚数据 - 直播短视频带货数据分析平台｜抖音快手小红书达人查询爆款商品直播间数据工具网页版,页面可见正文未发现完整字符串,C5F222F0C46B3A3128784ED10D10BF3301826170C66F4338D0FA0C61E3896DB8
aiproducthub.cn,https://xindou.aiproducthub.cn/,2026-09-08T03:19:41.606Z,已核验页面正文不含蝉妈妈,200,https://xindou.aiproducthub.cn/,新抖数据 - 新榜旗下抖音数据分析平台｜短视频直播电商数据工具达人投放品牌营销网页版入口,页面可见正文未发现完整字符串,3924F8CB597512794AB2EE9558E497E6E3B59C223A4BAF7DF92F8298B539828B
yun88.com,https://yun88.com/qa/3822.html,2026-09-08T03:19:42.063Z,已核验页面正文不含蝉妈妈,200,https://www.yun88.com/qa/3822.html,晓多科技语流Agent怎么用？能一键接入抖音淘宝吗？-云巴巴,页面可见正文未发现完整字符串,7CA91431E15DA872BB515046DE3A717CA99D6C9303B5E8018DDE9CEEAE0F9FF7
aiproducthub.cn,https://douchacha.aiproducthub.cn/,2026-09-08T03:19:44.330Z,已核验页面正文不含蝉妈妈,200,https://douchacha.aiproducthub.cn/,抖查查 - 抖音直播短视频电商数据分析平台｜直播大屏秒级监测带货分析商品销量排行热门榜单账号诊断达人运营变现网页版入口,页面可见正文未发现完整字符串,614AD93FA6AB0B52E86213260655627446A7298E2729560793EFA33AF27795B5
