url,raw_url,domain,title,type,authority,owner,bytedance,douyin_video,video_id,format,structure,topic,methodology,citations,answers,questions,owned_account
https://coonav.com/36782.html,https://coonav.com/36782.html,coonav.com,抖音数据查看平台有哪些?12大主流工具深度解析，选对平台事半功倍 | COONAV电商运营导航,其他外部来源,身份权威性未知,所有者未核实,False,False,,图文/网页,推荐/对比/清单,数据工具/分析,False,334,334,82,
https://compass.jinritemai.com/,https://compass.jinritemai.com/,jinritemai.com,抖音电商罗盘数据_抖音电商数据主屏入口_抖音电商罗盘数据官网,字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,说明/其他,数据工具/分析,False,140,140,51,
https://school.jinritemai.com/doudian/wap/course-series/cHSLjJ4EXZ57/cHSLjJ4EXZ57lHSLwWrdnmCx,https://school.jinritemai.com/doudian/wap/course-series/cHSLjJ4EXZ57/cHSLjJ4EXZ57lHSLwWrdnmCx,jinritemai.com,抖音电商罗盘手机端使用攻略,字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,教程/操作指南,综合运营/其他,True,134,134,52,
https://deepnavi.cn/ai-ecommerce/dou-cha-cha,https://deepnavi.cn/ai-ecommerce/dou-cha-cha,deepnavi.cn,抖查查 - 抖音电商直播数据分析运营工具,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,推荐/对比/清单,直播运营,False,125,125,56,
https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,https://deepnavi.cn/ai-new-media/fei-gua-shu-ju-1,deepnavi.cn,飞瓜数据 - 短视频直播电商全链路数据分析工具,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,推荐/对比/清单,直播运营,False,124,124,56,
https://deepnavi.cn/ai-ecommerce/chan-ma-ma,https://deepnavi.cn/ai-ecommerce/chan-ma-ma,deepnavi.cn,蝉妈妈 - 直播电商数据分析与内容运营工具,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,推荐/对比/清单,直播运营,False,123,123,56,
https://deepnavi.cn/ai-marketing/ju-liang-suan-shu-trend-insight,https://deepnavi.cn/ai-marketing/ju-liang-suan-shu-trend-insight,deepnavi.cn,巨量算数-抖音全域趋势洞察与营销决策工具,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,推荐/对比/清单,数据工具/分析,False,118,118,48,
https://duoduocm.com/sites/20106.html,https://duoduocm.com/sites/20106.html,duoduocm.com,电商罗盘官网 - 「罗盘」是抖音电商推出的官方数据产品矩阵，基于抖音电商全域数据(内容场+货架场)为商家及达人提供全面数策服务，旗下「罗盘·经营」为单店视角，让店铺经营可诊断可优化，「罗盘·策略」为多店多号的品牌视角，让生意增长有洞察有方向。「罗盘·达人」，为达人及机构视角，看清带货全链路数据(人群分析、内容创意、选品策略 - 多多参谋,其他外部来源,身份权威性未知,所有者未核实,False,False,,图文/网页,案例/复盘,达人/带货,False,117,117,56,
https://post.m.smzdm.com/p/anv4v8lv,https://post.m.smzdm.com/p/anv4v8lv,smzdm.com,2026抖音数据工具怎么选?免费、付费还是自建，一篇讲清避坑指南_服务软件_什么值得买,新闻/门户/自媒体,媒体或自媒体平台,媒体平台,False,False,,图文/网页,教程/操作指南,数据工具/分析,True,115,115,52,
https://blog.csdn.net/lyxathena/article/details/143586363,https://blog.csdn.net/lyxathena/article/details/143586363,csdn.net,飞瓜数据抖音版与蝉妈妈抖音版优劣势比较_飞瓜抖音版-CSDN博客,社区/博客/问答,UGC/专业社区,外部平台,False,False,,图文/网页,说明/其他,数据工具/分析,False,109,109,52,
https://m.toutiao.com/group/7664801420490605075,https://m.toutiao.com/group/7664801420490605075,toutiao.com,蝉妈妈全域洞察能看什么数据?覆盖范围和使用边界一次说清_蝉妈妈电商增长,字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,案例/复盘,数据工具/分析,False,109,109,61,蝉妈妈电商增长
https://feigua.cn/,https://feigua.cn/,feigua.cn,飞瓜数据,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,说明/其他,数据工具/分析,False,107,107,51,
https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,deepnavi.cn,抖音电商罗盘 - 全域数据赋能电商生意增长,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,案例/复盘,数据工具/分析,False,106,106,49,
https://m.163.com/dy/article/L2CGUUP00556OFA0.html,https://m.163.com/dy/article/L2CGUUP00556OFA0.html,163.com,蝉妈妈和飞瓜数据口径对比，中小商家选哪个更合适?|直播|短视频_手机网易网,新闻/门户/自媒体,媒体或自媒体平台,网易,False,False,,图文/网页,推荐/对比/清单,直播运营,False,105,105,56,
https://school.jinritemai.com/doudian/wap/course-series/cHXYPm4k5tCn/cHXYPm4k5tCnlHadidnoUX6D?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,https://school.jinritemai.com/doudian/wap/course-series/cHXYPm4k5tCn/cHXYPm4k5tCnlHadidnoUX6D?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,jinritemai.com,抖音电商官方数据产品「罗盘·策略」引领生意增长,字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,案例/复盘,数据工具/分析,False,103,103,38,
https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,https://matrix.newrank.cn/article/article-detail/9023eafac2a84c71,newrank.cn,2026多账号抖音直播数据分析平台推荐 蝉妈妈千瓜矩阵通对比_矩阵通,企业官网/工具平台,企业或垂直站点,外部企业,False,False,,图文/网页,推荐/对比/清单,直播运营,False,103,103,44,
https://m.toutiao.com/group/7668133227206345250,https://m.toutiao.com/group/7668133227206345250,toutiao.com,蝉妈妈飞瓜直播数据差异?直播运营拆解核心逻辑_电商数据观察员,字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,方法论/策略,直播运营,True,95,95,50,电商数据观察员
https://school.jinritemai.com/doudian/web/article/113166,https://school.jinritemai.com/doudian/web/article/113166,jinritemai.com,抖音电商罗盘最新最全介绍手册(达人版),字节/头条系其他,平台或产品来源,字节跳动/头条系,True,False,,图文/网页,教程/操作指南,达人/带货,True,93,93,46,
