citation_id,sample_id,question_id,question,category,source_name,source_type,normalized_url,domain,raw_mentions
CMCR-CIT-424E92FD8627911F0D8876E0,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,2
CMCR-CIT-F55B22132103A8D3E9C66C25,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,蝉妈妈AI-抖音数据分析工具_文案创作_视频拆解_AI图片设计与视频生成工具,associated_product,https://ai.chanmama.com/home,ai.chanmama.com,1
CMCR-CIT-BA705C6E4FF626DFA30E2A64,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7654849459948088505,iesdouyin.com,1
CMCR-CIT-229978C260E0E9D2C469B164,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7661849688374683382,iesdouyin.com,2
CMCR-CIT-CEF578D7E6C5570FB2572E87,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7652196197238883178,iesdouyin.com,1
CMCR-CIT-40780B8C795AB3DE54DDF9C3,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/tools,cy.chanmama.com,1
CMCR-CIT-E1D74BDD04ADA6607A8BEBF1,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7674941441080499813,iesdouyin.com,2
CMCR-CIT-737BD0F31ED1B1B3D0024D5E,CMCR-CMP-20260819-C1-Q0001,CMCR-Q0001,蝉妈妈·创意是什么？主要是做素材洞察、AI 创作，还是投放复盘的？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7604811578681652915,iesdouyin.com,2
CMCR-CIT-D0E962D9E9278661BAE5CBF0,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,3
CMCR-CIT-FCF7E9050FAAA2B36A8C7C1D,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,网易,media,http://m.163.com/dy/article/KVS6IRQM0556I154.html,m.163.com,2
