checkpoint_collected,checkpoint_planned,checkpoint_status,citation_id,sample_id,question_id,question_text,pool,category,sampling_round,source_title,normalized_url,final_domain,source_type,accessible,published_date,authority_score,relevance_score,freshness_status,accessibility_result,accessibility_detail,accessibility_rule_id,authority_result,authority_detail,authority_rule_id,authority_authors,authority_publishers,relevance_result,relevance_detail,relevance_rule_id,title_coverage,question_coverage,answer_coverage,relevance_evidence_snippet,freshness_result,freshness_detail,freshness_rule_id,freshness_evidence_source,freshness_evidence_dates,frozen_source_date,rule_version
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C01,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,芊小白达人营销蜕变记:蝉圈圈助力销量爆发与模型优化 - 蝉圈圈,https://kolkoc.com/news/231.html,kolkoc.com,official_direct,unknown,2025-09-12,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-09-12""]",2025-09-12,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C02,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"达人营销高效找达人全攻略:从定位到筛选,一步到位!- 蝉圈圈",https://kolkoc.com/news/190.html,kolkoc.com,official_direct,pass,2025-09-12,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.428571,0.176647,达人营销高效找达人全攻略：从定位到筛选，一步到位,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-01""]",2025-09-12,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C03,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"万字长文,金牌商务高业绩能力秘籍!| 蝉圈圈_品牌_营销_产品",https://m.sohu.com/a/794016858_121432700,m.sohu.com,media,unknown,2024-07-17,,,fail,unknown,robots_denied,ACC-UNKNOWN-NO-RETRY,unknown,page_not_auditable,AUTH-UNKNOWN-NO-PAGE,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,fail,older_than_12_months,FRESH-FAIL-OLD,frozen_source_table,"[""2024-07-17""]",2024-07-17,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C04,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,蝉圈圈 | 官网入口 - 电商达人营销管理系统,https://cxgn.cn/chan-quan-quan,cxgn.cn,other,pass,2025-09-21,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,author_and_publisher_signals,AUTH-PASS-DUAL-IDENTITY,"[""AI创作导航""]","[""AI创作导航"",""蝉圈圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.333333,0.12994,蝉圈圈 | 官网入口 - 电商达人营销管理系统 蝉圈圈 | 官网入口 - 电商达人营销管理系统 AI创作导航 登录体验完整功能（收藏、点赞、评论等） — 已累计有 13407 人加入 立即登录 → AI创作导航 创作类 全品类 首页 工具广场 X 社区 AI养虾 分类 提交工具 意见反馈 游客 登录后可享受更多服务 立即登录 首页 分类 工具广场 我的收藏 个人中心 工具提交 登录 让AI触手可及，让应用激发潜能 搜索 AIPPT生成免费AI配音 AI智能音箱 张一鸣 港股通,pass,within_12_months,FRESH-PASS-WINDOW,page_structured,"[""2025-09-21"",""2026-05-30""]",2025-09-21,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C05,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,KOC合作指南:2万粉达人撬动百万GMV的低成本爆单方法论 - 蝉圈圈,https://kolkoc.com/news/492.html,kolkoc.com,official_direct,pass,2025-09-16,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.571429,0.129341,KOC合作指南：2万粉达人撬动百万GMV的低成本爆单方法论 - 蝉圈圈 蝉圈圈-达播学习圈   首页 品牌案例 品牌访谈 实操干货 营销资讯 当前位置： 蝉圈圈-达播学习圈 » 营销资讯 » 2万粉达人撬动百万GMV，KOC合作到底怎么玩,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-01"",""2025-09-02"",""2025-10-01"",""2025-10-03"",""2025-11-01""]",2025-09-16,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C06,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"一键建联1000+达人,蝉圈圈AI商务员工开启高效达人合作新篇章 - 蝉圈圈",https://kolkoc.com/news/793.html,kolkoc.com,official_direct,pass,2025-10-17,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.333333,0.08024,一键建联1000+达人，蝉圈圈AI杀疯了 一键建联1000+达人，蝉圈圈AI商务员工开启高效达人合作新篇章 - 蝉圈圈 蝉圈圈-达播学习圈   首页 品牌案例 品牌访谈 实操干货 营销资讯 当前位置： 蝉圈圈-达播学习圈 » 营销资讯 » 一键建联1000+达人，蝉圈圈AI杀疯了 一键建联1000+达人，蝉圈圈AI杀疯了小小蓝2025-10-17营销资讯1805 找达人合作，你是不是也这样： 每天翻100个主页，眼睛快瞎了，合适的却没几个 发出去的消息像扔进大海,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-02"",""2025-10-01"",""2025-10-02"",""2025-10-03""]",2025-10-17,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C07,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"达人建联高效沟通指南:从话术到技巧,促成品牌达人合作 - 蝉圈圈",https://kolkoc.com/news/217.html,kolkoc.com,official_direct,unknown,2025-09-12,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-09-12""]",2025-09-12,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C08,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,懒猫馋馋达人建联实战:3个月GMV破百万的商务秘诀 - 蝉圈圈,https://kolkoc.com/news/618.html,kolkoc.com,official_direct,pass,2025-09-17,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.52381,0.107784,懒猫馋馋达人建联实战：3个月GMV破百万的商务秘诀 - 蝉圈圈 蝉圈圈-达播学习圈   首页 品牌案例 品牌访谈 实操干货 营销资讯 当前位置： 蝉圈圈-达播学习圈 » 营销资讯 » 达人想要高佣，但成本hold不住怎么办,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-01"",""2025-09-02"",""2025-10-01"",""2025-10-03""]",2025-09-17,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C09,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,蝉圈圈 - 一站式多平台达人营销及种草解决方案,https://kolkoc.com/bridge,kolkoc.com,official_direct,pass,,,,unknown,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,content_insufficient,REL-UNKNOWN-CONTENT,0.0,0.0,0.0,蝉圈圈达人营销官网-抖音/快手/多平台达人营销种草一站式管理 蝉圈圈达人营销官网-抖音/快手/多平台达人营销种草一站式管理,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C10,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,蝉圈圈-抖音达人营销全流程管理工具,https://deepnavi.cn/ai-marketing/chan-quan-quan,deepnavi.cn,other,unknown,,,,unknown,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,unknown,page_not_auditable,AUTH-UNKNOWN-NO-PAGE,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
