citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,article_key,platform,registry_id,account_name,account_type,confidence,match_basis
CIT-R3-Q0001-D1-R1-10,第三轮全量576采样,R3-Q0001-D1-R1,Q0001,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:47:53.836Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0002-D1-R1-05,第三轮全量576采样,R3-Q0002-D1-R1,Q0002,抖音直播数据查询平台推荐_抖音直播数据分析推荐蝉妈妈_运营_核心_选品,https://m.sohu.com/a/985505402_122634602/,https://m.sohu.com/a/985505402_122634602,https://m.sohu.com/a/985505402_122634602,other,2026-09-07T08:52:37.720Z,sohu:985505402_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0002-D1-R1-16,第三轮全量576采样,R3-Q0002-D1-R1,Q0002,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:52:37.720Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0003-D1-R1-02,第三轮全量576采样,R3-Q0003-D1-R1,Q0003,电商运营怎么查抖音直播带货达人数据与爆款选品?5个技巧用蝉妈妈数据分析平台实操指南_实时_品牌,https://m.sohu.com/a/1037959074_122634602/,https://m.sohu.com/a/1037959074_122634602,https://m.sohu.com/a/1037959074_122634602,other,2026-09-07T08:52:44.535Z,sohu:1037959074_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0004-D1-R1-17,第三轮全量576采样,R3-Q0004-D1-R1,Q0004,蝉妈妈怎么复盘直播?4步拆解曝光到成交链路_流量_数据_互动,https://m.sohu.com/a/1061101448_122634602/,https://m.sohu.com/a/1061101448_122634602,https://m.sohu.com/a/1061101448_122634602,other,2026-09-07T08:52:50.950Z,sohu:1061101448_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0004-D1-R1-19,第三轮全量576采样,R3-Q0004-D1-R1,Q0004,直播运营如何实时监控竞品直播间 GMV?三步实操法实现分钟级数据洞察_妈妈_分析_流量,https://m.sohu.com/a/1034806812_122634602/,https://m.sohu.com/a/1034806812_122634602,https://m.sohu.com/a/1034806812_122634602,other,2026-09-07T08:52:50.950Z,sohu:1034806812_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0005-D1-R1-18,第三轮全量576采样,R3-Q0005-D1-R1,Q0005,蝉妈妈飞瓜直播数据差异?直播运营拆解核心逻辑_电商数据观察员,http://m.toutiao.com/group/7668133227206345250/,https://m.toutiao.com/group/7668133227206345250,https://m.toutiao.com/group/7668133227206345250,other,2026-09-07T08:52:57.298Z,toutiao:7668133227206345250,Toutiao,toutiao-dianshang-data-observer,电商数据观察员,员工号,high,content_id_in_account_snapshot
CIT-R3-Q0008-D1-R1-11,第三轮全量576采样,R3-Q0008-D1-R1,Q0008,电商运营怎么查抖音直播带货达人数据与爆款选品?5个技巧用蝉妈妈数据分析平台实操指南_实时_品牌,https://m.sohu.com/a/1037959074_122634602/,https://m.sohu.com/a/1037959074_122634602,https://m.sohu.com/a/1037959074_122634602,other,2026-09-07T08:53:17.245Z,sohu:1037959074_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0008-D1-R1-16,第三轮全量576采样,R3-Q0008-D1-R1,Q0008,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:53:17.245Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0008-D1-R1-17,第三轮全量576采样,R3-Q0008-D1-R1,Q0008,竞品监控指标怎么看?蝉妈妈拆解数据颗粒度差异_直播_流量_品牌,https://m.sohu.com/a/1068378143_122634602/,https://m.sohu.com/a/1068378143_122634602,https://m.sohu.com/a/1068378143_122634602,other,2026-09-07T08:53:17.245Z,sohu:1068378143_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0009-D1-R1-08,第三轮全量576采样,R3-Q0009-D1-R1,Q0009,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:53:23.754Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
