citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,canonical_url,domain,platform_group,authority_class,source_owner,is_bytedance,is_douyin_video,douyin_video_id,question_type_primary,question_type_raw,content_format,content_structure,content_topic,methodology_attribute,owned_account,owned_registry_id,owned_confidence
CIT-R2-Q0026-D1-R1-01,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖店工具推荐 2026免费 + 付费，官方与第三方工具对比,https://c.m.163.com/news/a/L31MQC8R0556O9Q0.html,https://c.m.163.com/news/a/L31MQC8R0556O9Q0.html,https://c.m.163.com/news/a/L31MQC8R0556O9Q0.html,other,2026-08-03T05:24:05.380Z,https://c.m.163.com/news/a/L31MQC8R0556O9Q0.html,163.com,新闻/门户/自媒体,媒体或自媒体平台,网易,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,店铺/商品/商城,否,,,
CIT-R2-Q0026-D1-R1-02,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音平台数据分析有哪些工具?助力品牌精准营销与内容优化-帆软企业数字化知识百科,https://fanruan.com/finepedia/article/68aeac6b0bd240a239633851,https://fanruan.com/finepedia/article/68aeac6b0bd240a239633851,https://fanruan.com/finepedia/article/68aeac6b0bd240a239633851,other,2026-08-03T05:24:05.380Z,https://fanruan.com/finepedia/article/68aeac6b0bd240a239633851,fanruan.com,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,数据工具/分析,否,,,
CIT-R2-Q0026-D1-R1-03,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖店上架橱窗挂载教程（通过课堂街抖店）,https://oss.kesion.com/KTJUpload/2024/75/F133711297727375.pdf,https://oss.kesion.com/KTJUpload/2024/75/F133711297727375.pdf,https://oss.kesion.com/KTJUpload/2024/75/F133711297727375.pdf,other,2026-08-03T05:24:05.380Z,https://oss.kesion.com/KTJUpload/2024/75/F133711297727375.pdf,kesion.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,PDF/图文报告,教程/操作指南,店铺/商品/商城,是,,,
CIT-R2-Q0026-D1-R1-04,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音数据监控方案全对比:手动盯、官方工具、第三方平台,https://jzl.com/news/douyin-data-49,https://jzl.com/news/douyin-data-49,https://jzl.com/news/douyin-data-49,other,2026-08-03T05:24:05.380Z,https://jzl.com/news/douyin-data-49,jzl.com,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,数据工具/分析,否,,,
CIT-R2-Q0026-D1-R1-05,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖店实时数据该用官方后台、第三方工具还是API?各自有哪些致命陷阱? - CSDN文库,https://wenku.csdn.net/answer/bwk3ekhwzqy6,https://wenku.csdn.net/answer/bwk3ekhwzqy6,https://wenku.csdn.net/answer/bwk3ekhwzqy6,other,2026-08-03T05:24:05.380Z,https://wenku.csdn.net/answer/bwk3ekhwzqy6,csdn.net,社区/博客/问答,UGC/专业社区,外部平台,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,店铺/商品/商城,否,,,
CIT-R2-Q0026-D1-R1-06,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音第三方查看数据软件怎么选?从官方到定制化工具全攻略,https://jzl.com/news/166,https://jzl.com/news/166,https://jzl.com/news/166,other,2026-08-03T05:24:05.380Z,https://jzl.com/news/166,jzl.com,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0026-D1-R1-07,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,百应PC平台概览 - 帮助中心 - 巨量百应帮助中心,https://buyin.jinritemai.com/helpcenter/5124/42215,https://buyin.jinritemai.com/helpcenter/5124/42215,https://buyin.jinritemai.com/helpcenter/5124/42215,other,2026-08-03T05:24:05.380Z,https://buyin.jinritemai.com/helpcenter/5124/42215,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,数据工具/分析,否,,,
CIT-R2-Q0026-D1-R1-08,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音创作者服务中心登录入口(https://www.douyin.com)-多特导航,https://m.duote.com/daohang/420.html,https://m.duote.com/daohang/420.html,https://m.duote.com/daohang/420.html,other,2026-08-03T05:24:05.380Z,https://m.duote.com/daohang/420.html,duote.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0026-D1-R1-09,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,巨量引擎官网|今日头条营销投放_抖音营销投放_抖音营销,https://oceanengine.com/,https://oceanengine.com/,https://oceanengine.com/,other,2026-08-03T05:24:05.380Z,https://oceanengine.com/,oceanengine.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,广告投放,否,,,
CIT-R2-Q0026-D1-R1-10,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖店后台功能详细介绍 新人刚做抖店不懂后台的功能，教学来了。一条视频讲清楚！ #抖大侠 #一件代发  #抖店 #电商课程  #抖店开店,https://www.douyin.com/video/7667238698773954275,https://www.douyin.com/video/7667238698773954275,https://www.douyin.com/video/7667238698773954275,other,2026-08-03T05:24:05.380Z,https://www.douyin.com/video/7667238698773954275,douyin.com,抖音视频,创作者视频,字节跳动/头条系,是,是,7667238698773954275,工具推荐问题,工具对比型,视频,说明/其他,短视频内容,否,,,
