source_type,source_id,account_name,platform,published_items,cited_unique_items,citation_events,matched_samples,matched_questions,first_citations,cited_item_rate_pct,performance_interpretation
社媒九账号,zhihu-chanmama,蝉妈妈,知乎,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
社媒九账号,zhihu-dianshang-data-observer,电商数据观察员,知乎,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
社媒九账号,toutiao-chanmama-growth,蝉妈妈电商增长,今日头条,未取得完整作品分母,1,1,1,1,0,不可计算,严格命中 1 篇、1 次，单篇平均复用 1.0 次；高低表现来自当前引用复用与问题覆盖，不能单独归因为内容质量。
社媒九账号,toutiao-dianshang-data-observer,电商数据观察员,今日头条,未取得完整作品分母,1,17,17,12,0,不可计算,严格命中 1 篇、17 次，单篇平均复用 17.0 次；高低表现来自当前引用复用与问题覆盖，不能单独归因为内容质量。
社媒九账号,baijiahao-chanmama,蝉妈妈,百家号,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
社媒九账号,baijiahao-yuetian-guqu3d,月甜 / 瓜趣3D,百家号,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
社媒九账号,csdn-chanmama8888,chanmama8888,CSDN,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
社媒九账号,sohu-chanmama,蝉妈妈,搜狐号,未取得完整作品分母,52,601,367,92,38,不可计算,严格命中 52 篇、601 次，单篇平均复用 11.6 次；高低表现来自当前引用复用与问题覆盖，不能单独归因为内容质量。
社媒九账号,bilibili-chanmama-growth,蝉妈妈电商增长,哔哩哔哩,未取得完整作品分母,0,0,0,0,0,不可计算,本轮无严格账号身份命中；只能判断引用可发现性或问题匹配不足，不能据此评价内容质量。
抖音员工号,douyin-85606425230,蝉妈妈数据顾问王王,抖音,87,11,56,50,21,0,12.64,当前 87 条作品中 11 条被引（12.64%），共 56 次，单条被引作品平均复用 5.1 次；主要命中主题为“店铺经营与竞品分析”。
抖音员工号,douyin-72989782987,蝉妈妈直播运营津津,抖音,86,9,51,49,24,0,10.47,当前 86 条作品中 9 条被引（10.47%），共 51 次，单条被引作品平均复用 5.7 次；主要命中主题为“直播复盘与直播运营”。
抖音员工号,douyin-62571922952,蝉妈妈达人顾问安乐,抖音,81,11,27,23,15,0,13.58,当前 81 条作品中 11 条被引（13.58%），共 27 次，单条被引作品平均复用 2.5 次；主要命中主题为“选品与商品分析”。
抖音员工号,douyin-37700000417,蝉妈妈商务顾问,抖音,87,9,26,25,15,0,10.34,当前 87 条作品中 9 条被引（10.34%），共 26 次，单条被引作品平均复用 2.9 次；主要命中主题为“选品与商品分析”。
抖音员工号,douyin-94390160864,蝉妈妈运营顾问慧慧,抖音,76,7,56,55,27,0,9.21,当前 76 条作品中 7 条被引（9.21%），共 56 次，单条被引作品平均复用 8.0 次；主要命中主题为“店铺经营与竞品分析”。
抖音员工号,douyin-52977841677,蝉妈妈投流顾问薇薇,抖音,78,11,91,85,40,0,14.10,当前 78 条作品中 11 条被引（14.10%），共 91 次，单条被引作品平均复用 8.3 次；主要命中主题为“数据分析与工具使用”。
抖音员工号,douyin-68638800039,蝉妈妈选品顾问玲玲,抖音,78,6,28,27,16,0,7.69,当前 78 条作品中 6 条被引（7.69%），共 28 次，单条被引作品平均复用 4.7 次；主要命中主题为“选品与商品分析”。
抖音员工号,douyin-60765252928,蝉妈妈内容顾问兰兰,抖音,74,7,30,30,15,0,9.46,当前 74 条作品中 7 条被引（9.46%），共 30 次，单条被引作品平均复用 4.3 次；主要命中主题为“店铺经营与竞品分析”。
抖音员工号,douyin-45133156889,蝉妈妈竞品顾问秋秋,抖音,83,11,92,80,30,0,13.25,当前 83 条作品中 11 条被引（13.25%），共 92 次，单条被引作品平均复用 8.4 次；主要命中主题为“数据分析与工具使用”。
抖音员工号,douyin-33081499021,喜柿多多数据顾问琪琪,抖音,70,5,40,39,17,0,7.14,当前 70 条作品中 5 条被引（7.14%），共 40 次，单条被引作品平均复用 8.0 次；主要命中主题为“数据分析与工具使用”。
抖音员工号,douyin-26789409602,喜柿多多直播顾问强强,抖音,70,6,58,56,28,0,8.57,当前 70 条作品中 6 条被引（8.57%），共 58 次，单条被引作品平均复用 9.7 次；主要命中主题为“直播复盘与直播运营”。
抖音员工号,douyin-66476028197,喜柿多多电商顾问琳琳,抖音,59,9,54,51,27,1,15.25,当前 59 条作品中 9 条被引（15.25%），共 54 次，单条被引作品平均复用 6.0 次；主要命中主题为“短视频内容与流量”。
抖音员工号,douyin-54350615153,喜柿多多营销顾问可可,抖音,41,2,43,43,17,0,4.88,当前 41 条作品中 2 条被引（4.88%），共 43 次，单条被引作品平均复用 21.5 次；主要命中主题为“数据分析与工具使用”。
抖音员工号,douyin-80976156179,喜柿多多运营顾问静静,抖音,44,1,35,35,19,0,2.27,当前 44 条作品中 1 条被引（2.27%），共 35 次，单条被引作品平均复用 35.0 次；主要命中主题为“店铺经营与竞品分析”。
