date,revision,hotspot_id,hotspot_name,hotspot_category,subject_id,subject_kind,industry,breakout_status,ad_eligible,eligible_modes,keyword_id,keyword,intent,applicable_modes,match_suggestion,landing_page_status,landing_page_url,landing_page_route,valid_from,valid_until,validation_status,risk_flags,evidence_refs
2026-09-14,1,HT-20260914-001,关于规范床上用品商品属性填写和宣传的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajqesmgxscsi,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajqesmgxscsi:01,关于规范床上用品商品属性填写和宣传的治理公告,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajqesmgxscsi
2026-09-14,1,HT-20260914-001,关于规范床上用品商品属性填写和宣传的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajqesmgxscsi,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajqesmgxscsi:02,关于规范床上用品商品属性填写和宣传的治理公告 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajqesmgxscsi
2026-09-14,1,HT-20260914-001,关于规范床上用品商品属性填写和宣传的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajqesmgxscsi,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajqesmgxscsi:03,关于规范床上用品商品属性填写和宣传的治理公告 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajqesmgxscsi
2026-09-14,1,HT-20260914-001,关于规范床上用品商品属性填写和宣传的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajqesmgxscsi,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajqesmgxscsi:04,关于规范床上用品商品属性填写和宣传的治理公告 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajqesmgxscsi
2026-09-14,1,HT-20260914-001,关于规范床上用品商品属性填写和宣传的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajqesmgxscsi,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajqesmgxscsi:05,关于规范床上用品商品属性填写和宣传的治理公告 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajqesmgxscsi
2026-09-14,1,HT-20260914-002,关于规范干货和五谷杂粮类目商品净含量信息描述的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajq8aezfqmed,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajq8aezfqmed:01,关于规范干货和五谷杂粮类目商品净含量信息描述的治,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajq8aezfqmed
2026-09-14,1,HT-20260914-002,关于规范干货和五谷杂粮类目商品净含量信息描述的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajq8aezfqmed,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajq8aezfqmed:02,关于规范干货和五谷杂粮类目商品净含量信息描述的治 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajq8aezfqmed
2026-09-14,1,HT-20260914-002,关于规范干货和五谷杂粮类目商品净含量信息描述的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajq8aezfqmed,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajq8aezfqmed:03,关于规范干货和五谷杂粮类目商品净含量信息描述的治 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajq8aezfqmed
2026-09-14,1,HT-20260914-002,关于规范干货和五谷杂粮类目商品净含量信息描述的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajq8aezfqmed,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajq8aezfqmed:04,关于规范干货和五谷杂粮类目商品净含量信息描述的治 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajq8aezfqmed
2026-09-14,1,HT-20260914-002,关于规范干货和五谷杂粮类目商品净含量信息描述的治理公告,类目与消费,rule:douyin:doudian-learning-center-ajq8aezfqmed,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajq8aezfqmed:05,关于规范干货和五谷杂粮类目商品净含量信息描述的治 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajq8aezfqmed
2026-09-14,1,HT-20260914-003,关于禁止销售高风险分装/重组食品的公告,类目与消费,rule:douyin:doudian-learning-center-ajpc3zg3wxqk,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajpc3zg3wxqk:01,关于禁止销售高风险分装/重组食品的公告,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajpc3zg3wxqk
2026-09-14,1,HT-20260914-003,关于禁止销售高风险分装/重组食品的公告,类目与消费,rule:douyin:doudian-learning-center-ajpc3zg3wxqk,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajpc3zg3wxqk:02,关于禁止销售高风险分装/重组食品的公告 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajpc3zg3wxqk
2026-09-14,1,HT-20260914-003,关于禁止销售高风险分装/重组食品的公告,类目与消费,rule:douyin:doudian-learning-center-ajpc3zg3wxqk,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajpc3zg3wxqk:03,关于禁止销售高风险分装/重组食品的公告 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajpc3zg3wxqk
2026-09-14,1,HT-20260914-003,关于禁止销售高风险分装/重组食品的公告,类目与消费,rule:douyin:doudian-learning-center-ajpc3zg3wxqk,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajpc3zg3wxqk:04,关于禁止销售高风险分装/重组食品的公告 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajpc3zg3wxqk
2026-09-14,1,HT-20260914-003,关于禁止销售高风险分装/重组食品的公告,类目与消费,rule:douyin:doudian-learning-center-ajpc3zg3wxqk,rule,抖音电商经营,observation_only,false,,kw:doudian-learning-center-ajpc3zg3wxqk:05,关于禁止销售高风险分装/重组食品的公告 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:doudian-learning-center-ajpc3zg3wxqk
2026-09-14,1,HT-20260914-004,"一条小团团OvO tuantuanxhchibb 74.8w 3,207.8w 2",达人与内容案例,product:chanmama:chanmama-tms-vbuz2pxvltb5lzubaa-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-tms-vbuz2pxvltb5lzubaa-html:01,一条小团团OvO tuantuanxhchibb,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-tms-vbuz2pxvltb5lzubaa-html
2026-09-14,1,HT-20260914-004,"一条小团团OvO tuantuanxhchibb 74.8w 3,207.8w 2",达人与内容案例,product:chanmama:chanmama-tms-vbuz2pxvltb5lzubaa-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-tms-vbuz2pxvltb5lzubaa-html:02,一条小团团OvO tuantuanxhchibb 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-tms-vbuz2pxvltb5lzubaa-html
2026-09-14,1,HT-20260914-004,"一条小团团OvO tuantuanxhchibb 74.8w 3,207.8w 2",达人与内容案例,product:chanmama:chanmama-tms-vbuz2pxvltb5lzubaa-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-tms-vbuz2pxvltb5lzubaa-html:03,一条小团团OvO tuantuanxhchibb 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-tms-vbuz2pxvltb5lzubaa-html
2026-09-14,1,HT-20260914-004,"一条小团团OvO tuantuanxhchibb 74.8w 3,207.8w 2",达人与内容案例,product:chanmama:chanmama-tms-vbuz2pxvltb5lzubaa-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-tms-vbuz2pxvltb5lzubaa-html:04,一条小团团OvO tuantuanxhchibb 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-tms-vbuz2pxvltb5lzubaa-html
2026-09-14,1,HT-20260914-004,"一条小团团OvO tuantuanxhchibb 74.8w 3,207.8w 2",达人与内容案例,product:chanmama:chanmama-tms-vbuz2pxvltb5lzubaa-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-tms-vbuz2pxvltb5lzubaa-html:05,一条小团团OvO tuantuanxhchibb 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-tms-vbuz2pxvltb5lzubaa-html
2026-09-14,1,HT-20260914-005,"云逛深圳珠宝展专场 小北珠宝 粉丝558.4w 09/11 12:30 5小时44分6秒 5.3w 205.5w 104 1000w+ 89,120,115 2w~10w 13,227",达人与内容案例,product:chanmama:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html:01,云逛深圳珠宝展专场 小北珠宝 粉丝558.4w ,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html
2026-09-14,1,HT-20260914-005,"云逛深圳珠宝展专场 小北珠宝 粉丝558.4w 09/11 12:30 5小时44分6秒 5.3w 205.5w 104 1000w+ 89,120,115 2w~10w 13,227",达人与内容案例,product:chanmama:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html:02,云逛深圳珠宝展专场 小北珠宝 粉丝558.4w  规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html
2026-09-14,1,HT-20260914-005,"云逛深圳珠宝展专场 小北珠宝 粉丝558.4w 09/11 12:30 5小时44分6秒 5.3w 205.5w 104 1000w+ 89,120,115 2w~10w 13,227",达人与内容案例,product:chanmama:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html:03,云逛深圳珠宝展专场 小北珠宝 粉丝558.4w  影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html
2026-09-14,1,HT-20260914-005,"云逛深圳珠宝展专场 小北珠宝 粉丝558.4w 09/11 12:30 5小时44分6秒 5.3w 205.5w 104 1000w+ 89,120,115 2w~10w 13,227",达人与内容案例,product:chanmama:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html:04,云逛深圳珠宝展专场 小北珠宝 粉丝558.4w  商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html
2026-09-14,1,HT-20260914-005,"云逛深圳珠宝展专场 小北珠宝 粉丝558.4w 09/11 12:30 5小时44分6秒 5.3w 205.5w 104 1000w+ 89,120,115 2w~10w 13,227",达人与内容案例,product:chanmama:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html:05,云逛深圳珠宝展专场 小北珠宝 粉丝558.4w  操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-lhjtsflzan-nx7aqhc3ecfrdc9vqqatz-html
2026-09-14,1,HT-20260914-006,游戏社长小九 djzt777,达人与内容案例,product:chanmama:chanmama-mxye9vfputsnwypd-fay-w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-mxye9vfputsnwypd-fay-w-html:01,游戏社长小九 djzt777,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-mxye9vfputsnwypd-fay-w-html
2026-09-14,1,HT-20260914-006,游戏社长小九 djzt777,达人与内容案例,product:chanmama:chanmama-mxye9vfputsnwypd-fay-w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-mxye9vfputsnwypd-fay-w-html:02,游戏社长小九 djzt777 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-mxye9vfputsnwypd-fay-w-html
2026-09-14,1,HT-20260914-006,游戏社长小九 djzt777,达人与内容案例,product:chanmama:chanmama-mxye9vfputsnwypd-fay-w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-mxye9vfputsnwypd-fay-w-html:03,游戏社长小九 djzt777 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-mxye9vfputsnwypd-fay-w-html
2026-09-14,1,HT-20260914-006,游戏社长小九 djzt777,达人与内容案例,product:chanmama:chanmama-mxye9vfputsnwypd-fay-w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-mxye9vfputsnwypd-fay-w-html:04,游戏社长小九 djzt777 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-mxye9vfputsnwypd-fay-w-html
2026-09-14,1,HT-20260914-006,游戏社长小九 djzt777,达人与内容案例,product:chanmama:chanmama-mxye9vfputsnwypd-fay-w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-mxye9vfputsnwypd-fay-w-html:05,游戏社长小九 djzt777 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-mxye9vfputsnwypd-fay-w-html
2026-09-14,1,HT-20260914-007,段俊 dj.piano,达人与内容案例,product:chanmama:chanmama-gyedqdkdlphag9p-mq4k5w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-gyedqdkdlphag9p-mq4k5w-html:01,段俊 dj.piano,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-gyedqdkdlphag9p-mq4k5w-html
2026-09-14,1,HT-20260914-007,段俊 dj.piano,达人与内容案例,product:chanmama:chanmama-gyedqdkdlphag9p-mq4k5w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-gyedqdkdlphag9p-mq4k5w-html:02,段俊 dj.piano 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-gyedqdkdlphag9p-mq4k5w-html
2026-09-14,1,HT-20260914-007,段俊 dj.piano,达人与内容案例,product:chanmama:chanmama-gyedqdkdlphag9p-mq4k5w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-gyedqdkdlphag9p-mq4k5w-html:03,段俊 dj.piano 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-gyedqdkdlphag9p-mq4k5w-html
2026-09-14,1,HT-20260914-007,段俊 dj.piano,达人与内容案例,product:chanmama:chanmama-gyedqdkdlphag9p-mq4k5w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-gyedqdkdlphag9p-mq4k5w-html:04,段俊 dj.piano 商家,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-gyedqdkdlphag9p-mq4k5w-html
2026-09-14,1,HT-20260914-007,段俊 dj.piano,达人与内容案例,product:chanmama:chanmama-gyedqdkdlphag9p-mq4k5w-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-gyedqdkdlphag9p-mq4k5w-html:05,段俊 dj.piano 操作清单,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-gyedqdkdlphag9p-mq4k5w-html
2026-09-14,1,HT-20260914-008,"水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝225.3w 09/12 12:31 4小时7分34秒 1.3w 50.5w 63 1000w+ 27,072,069 5000~2w 4,006",达人与内容案例,product:chanmama:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html:01,水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝2,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html
2026-09-14,1,HT-20260914-008,"水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝225.3w 09/12 12:31 4小时7分34秒 1.3w 50.5w 63 1000w+ 27,072,069 5000~2w 4,006",达人与内容案例,product:chanmama:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html:02,水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝2 规则,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html
2026-09-14,1,HT-20260914-008,"水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝225.3w 09/12 12:31 4小时7分34秒 1.3w 50.5w 63 1000w+ 27,072,069 5000~2w 4,006",达人与内容案例,product:chanmama:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html,creator,抖音内容达人,observation_only,false,,kw:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html:03,水晶书记赵中刚彩宝之都溯源 水晶村赵中刚 粉丝2 影响,对象词,search|interest,短语匹配；仅在取得真实搜索词报告后再调整。,planned,,每日热点对象专题页（尚未达到广告承接就绪）,2026-09-14,2026-09-25,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin:chanmama-ec-txjhq1r70y6gjyv-86utvhdwq1zc-html
