domain,citations,event_share_pct,urls,answers,questions,type,owner,bytedance,external_partner_candidate
douyin.com,1159,18.95,469,253,92,抖音视频,字节跳动/头条系,True,False
jinritemai.com,847,13.85,163,228,88,字节/头条系其他,字节跳动/头条系,True,False
sohu.com,488,7.98,105,237,89,新闻/门户/自媒体,搜狐,False,True
deepnavi.cn,314,5.13,9,182,82,企业官网/工具平台,外部企业,False,True
csdn.net,266,4.35,83,163,78,社区/博客/问答,外部平台,False,True
jzl.com,248,4.05,29,124,66,企业官网/工具平台,外部企业,False,True
coonav.com,187,3.06,4,179,77,其他外部来源,所有者未核实,False,True
163.com,178,2.91,19,130,71,新闻/门户/自媒体,网易,False,True
fanruan.com,170,2.78,67,109,59,企业官网/工具平台,外部企业,False,True
toutiao.com,158,2.58,44,104,65,字节/头条系其他,字节跳动/头条系,True,False
newrank.cn,141,2.31,24,104,52,企业官网/工具平台,外部企业,False,True
feigua.cn,115,1.88,27,96,55,企业官网/工具平台,外部企业,False,True
cnblogs.com,92,1.5,37,53,38,社区/博客/问答,外部平台,False,True
hwds868.com,79,1.29,15,56,40,其他外部来源,所有者未核实,False,True
aiproducthub.cn,78,1.28,8,57,48,其他外部来源,所有者未核实,False,True
smzdm.com,72,1.18,5,70,46,新闻/门户/自媒体,媒体平台,False,True
ai-indeed.com,59,0.96,35,36,23,其他外部来源,所有者未核实,False,True
duoduocm.com,54,0.88,2,54,42,其他外部来源,所有者未核实,False,False
guandata.com,51,0.83,6,47,24,其他外部来源,所有者未核实,False,True
apple.com,47,0.77,15,42,28,其他外部来源,所有者未核实,False,True
xiayx.com,46,0.75,6,43,33,其他外部来源,所有者未核实,False,True
iqinghu.com,41,0.67,15,33,24,其他外部来源,所有者未核实,False,True
finebi.com,39,0.64,14,36,26,其他外部来源,所有者未核实,False,True
cxgn.cn,36,0.59,5,35,27,其他外部来源,所有者未核实,False,True
php.cn,35,0.57,18,27,19,社区/博客/问答,外部平台,False,True
chanmama.com,34,0.56,5,31,23,企业官网/工具平台,外部企业,False,True
shankongmao.com,33,0.54,8,31,17,其他外部来源,所有者未核实,False,True
trenz.ai,31,0.51,8,20,16,其他外部来源,所有者未核实,False,True
feishu.cn,25,0.41,14,13,9,字节/头条系其他,字节跳动/头条系,True,False
appchina.com,24,0.39,3,24,20,其他外部来源,所有者未核实,False,True
wandoujia.com,23,0.38,4,23,16,其他外部来源,所有者未核实,False,True
volcengine.com,22,0.36,10,18,12,字节/头条系其他,字节跳动/头条系,True,False
open-douyin.com,21,0.34,20,16,16,其他外部来源,所有者未核实,False,True
taobao.com,20,0.33,6,20,20,其他外部来源,所有者未核实,False,True
biqiusoft.com,19,0.31,4,17,13,其他外部来源,所有者未核实,False,True
mi.com,18,0.29,2,17,15,其他外部来源,所有者未核实,False,False
book118.com,16,0.26,12,13,10,其他外部来源,所有者未核实,False,True
oceanengine.com,16,0.26,12,15,13,字节/头条系其他,字节跳动/头条系,True,False
aliyuncs.com,15,0.25,4,15,14,其他外部来源,所有者未核实,False,True
douchacha.com,15,0.25,13,12,12,其他外部来源,所有者未核实,False,True
finereport.com,15,0.25,3,15,10,企业官网/工具平台,外部企业,False,True
mr010.com,15,0.25,4,15,11,其他外部来源,所有者未核实,False,True
10100.com,14,0.23,6,14,11,其他外部来源,所有者未核实,False,True
oppozhijia.com,14,0.23,8,14,10,其他外部来源,所有者未核实,False,True
sina.cn,14,0.23,12,10,10,其他外部来源,所有者未核实,False,True
tools-ai.cn,14,0.23,3,14,14,其他外部来源,所有者未核实,False,True
xiguaji.com,14,0.23,3,13,10,其他外部来源,所有者未核实,False,True
douyinec.com,12,0.2,3,11,11,其他外部来源,所有者未核实,False,True
duote.com,12,0.2,3,11,10,其他外部来源,所有者未核实,False,True
ji-gua.com,12,0.2,3,11,8,其他外部来源,所有者未核实,False,True
biemoyu.com,11,0.18,3,10,8,其他外部来源,所有者未核实,False,True
chanjet.com,11,0.18,10,8,5,其他外部来源,所有者未核实,False,True
huo1818.com,11,0.18,1,11,11,其他外部来源,所有者未核实,False,False
tiktok.com,11,0.18,4,11,10,其他外部来源,所有者未核实,False,True
36kr.com,10,0.16,8,5,3,新闻/门户/自媒体,媒体平台,False,True
b2b168.com,10,0.16,4,9,6,其他外部来源,所有者未核实,False,True
youcloud.com,10,0.16,4,10,7,其他外部来源,所有者未核实,False,True
11467.com,9,0.15,8,8,7,其他外部来源,所有者未核实,False,False
qq.com,9,0.15,4,9,8,新闻/门户/自媒体,媒体平台,False,False
smartscout.com,9,0.15,2,9,8,其他外部来源,所有者未核实,False,False
vientianeark.cn,9,0.15,8,9,8,其他外部来源,所有者未核实,False,False
zboec.cn,9,0.15,3,8,5,其他外部来源,所有者未核实,False,False
sina.com.cn,8,0.13,7,7,6,新闻/门户/自媒体,媒体平台,False,False
znbo.com,8,0.13,2,8,8,其他外部来源,所有者未核实,False,False
80tg.com,7,0.11,4,7,7,其他外部来源,所有者未核实,False,False
bilibili.com,7,0.11,2,7,5,社区/博客/问答,外部平台,False,False
jb51.net,7,0.11,1,7,7,其他外部来源,所有者未核实,False,False
slashdot.org,7,0.11,3,7,7,其他外部来源,所有者未核实,False,False
