date,revision,hotspot_id,hotspot_name,hotspot_category,subject_id,subject_kind,industry,breakout_status,ad_eligible,eligible_modes,keyword_id,keyword,intent,applicable_modes,match_suggestion,landing_page_status,landing_page_url,landing_page_route,valid_from,valid_until,validation_status,risk_flags,evidence_refs
2026-08-19,3,HT-20260819-001,抖音电商发布定制珠宝商品细则，确认书、收费、售后与自然光留证成为经营硬要求,经营与规则,rule:douyin:custom-jewelry-ahhezg7rqecx,rule,珠宝文玩/抖音电商经营,observation_only,false,,kw:douyin-custom-jewelry:01,抖音定制珠宝规则,对象词,search|interest,短语匹配；第二阶段只在取得真实搜索词报告后补充精确匹配和否定词,planned,,每日热点对应对象专题页（尚未达到广告承接就绪）,2026-08-18,2026-09-19,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin-custom-jewelry:official-rule
2026-08-19,3,HT-20260819-001,抖音电商发布定制珠宝商品细则，确认书、收费、售后与自然光留证成为经营硬要求,经营与规则,rule:douyin:custom-jewelry-ahhezg7rqecx,rule,珠宝文玩/抖音电商经营,observation_only,false,,kw:douyin-custom-jewelry:02,定制珠宝确认书,业务问题词,search|interest,短语匹配；第二阶段只在取得真实搜索词报告后补充精确匹配和否定词,planned,,每日热点对应对象专题页（尚未达到广告承接就绪）,2026-08-18,2026-09-19,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin-custom-jewelry:official-rule
2026-08-19,3,HT-20260819-001,抖音电商发布定制珠宝商品细则，确认书、收费、售后与自然光留证成为经营硬要求,经营与规则,rule:douyin:custom-jewelry-ahhezg7rqecx,rule,珠宝文玩/抖音电商经营,observation_only,false,,kw:douyin-custom-jewelry:03,珠宝直播自然光展示,业务问题词,search|interest,短语匹配；第二阶段只在取得真实搜索词报告后补充精确匹配和否定词,planned,,每日热点对应对象专题页（尚未达到广告承接就绪）,2026-08-18,2026-09-19,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin-custom-jewelry:official-rule
2026-08-19,3,HT-20260819-001,抖音电商发布定制珠宝商品细则，确认书、收费、售后与自然光留证成为经营硬要求,经营与规则,rule:douyin:custom-jewelry-ahhezg7rqecx,rule,珠宝文玩/抖音电商经营,observation_only,false,,kw:douyin-custom-jewelry:04,定制珠宝七天无理由,业务问题词,search|interest,短语匹配；第二阶段只在取得真实搜索词报告后补充精确匹配和否定词,planned,,每日热点对应对象专题页（尚未达到广告承接就绪）,2026-08-18,2026-09-19,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin-custom-jewelry:official-rule
2026-08-19,3,HT-20260819-001,抖音电商发布定制珠宝商品细则，确认书、收费、售后与自然光留证成为经营硬要求,经营与规则,rule:douyin:custom-jewelry-ahhezg7rqecx,rule,珠宝文玩/抖音电商经营,observation_only,false,,kw:douyin-custom-jewelry:05,珠宝定制飞鸽留证,业务问题词,search|interest,短语匹配；第二阶段只在取得真实搜索词报告后补充精确匹配和否定词,planned,,每日热点对应对象专题页（尚未达到广告承接就绪）,2026-08-18,2026-09-19,hypothesis,主动搜索未验证|落地页与监测未就绪,metric:douyin-custom-jewelry:official-rule
2026-08-19,3,HT-20260819-002,抖音电商发布平台补贴禁用范围，自提、特定店型与类目进入明确排除清单,经营与规则,rule:douyin:ajoptsto7zpq,rule,抖音电商经营/营销补贴,observation_only,false,,kw:douyin-platform-subsidy-exclusions:01,抖音平台补贴禁用范围,规则对象词,search|interest,短语匹配；第二阶段根据真实搜索词报告补充精确匹配和否定词,planned,,每日热点对应规则专题页（尚未达到广告承接就绪）,2026-08-17,2026-09-19,hypothesis,,metric:douyin-platform-subsidy-exclusions:official-rule
2026-08-19,3,HT-20260819-002,抖音电商发布平台补贴禁用范围，自提、特定店型与类目进入明确排除清单,经营与规则,rule:douyin:ajoptsto7zpq,rule,抖音电商经营/营销补贴,observation_only,false,,kw:douyin-platform-subsidy-exclusions:02,抖音优惠券哪些商品不能用,经营问题词,search|interest,短语匹配；第二阶段根据真实搜索词报告补充精确匹配和否定词,planned,,每日热点对应规则专题页（尚未达到广告承接就绪）,2026-08-17,2026-09-19,hypothesis,,metric:douyin-platform-subsidy-exclusions:official-rule
2026-08-19,3,HT-20260819-002,抖音电商发布平台补贴禁用范围，自提、特定店型与类目进入明确排除清单,经营与规则,rule:douyin:ajoptsto7zpq,rule,抖音电商经营/营销补贴,observation_only,false,,kw:douyin-platform-subsidy-exclusions:03,抖音红包禁用类目,经营问题词,search|interest,短语匹配；第二阶段根据真实搜索词报告补充精确匹配和否定词,planned,,每日热点对应规则专题页（尚未达到广告承接就绪）,2026-08-17,2026-09-19,hypothesis,,metric:douyin-platform-subsidy-exclusions:official-rule
2026-08-19,3,HT-20260819-002,抖音电商发布平台补贴禁用范围，自提、特定店型与类目进入明确排除清单,经营与规则,rule:douyin:ajoptsto7zpq,rule,抖音电商经营/营销补贴,observation_only,false,,kw:douyin-platform-subsidy-exclusions:04,抖店补贴资格,经营问题词,search|interest,短语匹配；第二阶段根据真实搜索词报告补充精确匹配和否定词,planned,,每日热点对应规则专题页（尚未达到广告承接就绪）,2026-08-17,2026-09-19,hypothesis,,metric:douyin-platform-subsidy-exclusions:official-rule
2026-08-19,3,HT-20260819-002,抖音电商发布平台补贴禁用范围，自提、特定店型与类目进入明确排除清单,经营与规则,rule:douyin:ajoptsto7zpq,rule,抖音电商经营/营销补贴,observation_only,false,,kw:douyin-platform-subsidy-exclusions:05,平台直降禁用范围,经营问题词,search|interest,短语匹配；第二阶段根据真实搜索词报告补充精确匹配和否定词,planned,,每日热点对应规则专题页（尚未达到广告承接就绪）,2026-08-17,2026-09-19,hypothesis,,metric:douyin-platform-subsidy-exclusions:official-rule
